Mikhail_Golenkov  	 /moodle/lib/cronlib.php  	 vuln  	 209  	php:S2964
David_Monllao  	 /moodle/analytics/tests/fixtures/test_analysis.php  	 vuln  	 44  	php:S2964
David_Monllao  	 /moodle/lib/tests/time_splittings_test.php  	 vuln  	 306  	php:S2964
David_Monllao  	 /moodle/lib/tests/time_splittings_test.php  	 vuln  	 347  	php:S2964
Sara_Arjona  	 /moodle/h5p/js/embed.js  	 vuln  	 72  	javascript:S2819
Amaia_Anabitarte  	 /moodle/lib/h5p/js/h5p-resizer.js  	 vuln  	 127  	javascript:S2819
Amaia_Anabitarte  	 /moodle/lib/h5p/js/h5p.js  	 vuln  	 471  	javascript:S2819
Mihail_Geshoski  	 /moodle/badges/upgradelib.php  	 vuln  	 41  	php:S2068
Mihail_Geshoski  	 /moodle/badges/upgradelib.php  	 vuln  	 58  	php:S2068
Helen_Foster  	 /moodle/lang/en/admin.php  	 vuln  	 190  	php:S2068
Eloy_Lafuente_(stronk7)  	 /moodle/lib/tcpdf/include/tcpdf_static.php  	 vuln  	 1840  	php:S4830
Eloy_Lafuente_(stronk7)  	 /moodle/lib/tcpdf/include/tcpdf_static.php  	 vuln  	 1841  	php:S4830
Damyon_Wiese  	 /moodle/badges/classes/external/recipient_exporter.php  	 vuln  	 56  	php:S2053
Mihail_Geshoski  	 /moodle/mod/forum/tests/externallib_test.php  	 vuln  	 1422  	php:S2964
Mihail_Geshoski  	 /moodle/mod/forum/tests/externallib_test.php  	 vuln  	 1430  	php:S2964
Mihail_Geshoski  	 /moodle/mod/forum/tests/externallib_test.php  	 vuln  	 1435  	php:S2964
Mihail_Geshoski  	 /moodle/mod/forum/tests/externallib_test.php  	 vuln  	 1439  	php:S2964
Mihail_Geshoski  	 /moodle/mod/forum/tests/externallib_test.php  	 vuln  	 1447  	php:S2964
Mihail_Geshoski  	 /moodle/mod/forum/tests/externallib_test.php  	 vuln  	 1455  	php:S2964
Mihail_Geshoski  	 /moodle/mod/forum/tests/externallib_test.php  	 vuln  	 1463  	php:S2964
Mihail_Geshoski  	 /moodle/mod/forum/tests/externallib_test.php  	 vuln  	 1471  	php:S2964
